,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2,tournament_url
0,ATP Buenos Aires,argentina,2017-02-19,Nishikori K.,Dolgopolov A.,"Final result 0:2 (64:7, 4:6)",1.23,4.80,-4,1.86,2.05,+21.5,1.93,1.98,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/nishikori-kei-dolgopolov-alexandr-tYzzyQee/
1,ATP Buenos Aires,argentina,2017-02-18,Nishikori K.,Berlocq C.,"Final result 2:1 (4:6, 6:4, 6:3)",1.15,6.61,-5.5,2.11,1.81,+20,1.93,1.98,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/nishikori-kei-berlocq-carlos-xG4r7G7m/
2,ATP Buenos Aires,argentina,2017-02-18,Carreno-Busta P.,Dolgopolov A.,"Final result 0:2 (5:7, 2:6)",1.68,2.36,-2,1.95,1.95,+22.5,1.94,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/carreno-busta-pablo-dolgopolov-alexandr-jkcCIABN/
3,ATP Buenos Aires,argentina,2017-02-18,Berlocq C.,Monteiro T.,"Final result 2:1 (3:6, 6:2, 6:3)",1.61,2.51,-2.5,1.99,1.92,+22.5,2.02,1.88,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/berlocq-carlos-monteiro-thiago-vPhGhMPs/
4,ATP Buenos Aires,argentina,2017-02-17,Nishikori K.,Sousa J.,"Final result 2:0 (6:1, 6:4)",1.24,4.69,-4.5,2.00,1.91,+21.5,1.98,1.91,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/nishikori-kei-sousa-joao-b9uB4Sk4/
5,ATP Buenos Aires,argentina,2017-02-17,Melzer G.,Dolgopolov A.,"Final result 0:2 (5:7, 4:6)",2.79,1.51,+3,1.96,1.94,+22.5,1.99,1.92,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/melzer-gerald-dolgopolov-alexandr-OvakfKrd/
6,ATP Buenos Aires,argentina,2017-02-17,Ramos A.,Carreno-Busta P.,"Final result 1:2 (3:6, 6:4, 4:6)",2.41,1.65,+2.5,1.89,1.97,+23,1.96,1.92,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/ramos-vinolas-albert-carreno-busta-pablo-Ym3QhVjh/
7,ATP Buenos Aires,argentina,2017-02-17,Monteiro T.,Robredo T.,"Final result 2:0 (6:3, 6:4)",2.27,1.71,+2,1.90,1.95,+22,1.89,2.00,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/monteiro-thiago-robredo-tommy-fo2befxA/
8,ATP Buenos Aires,argentina,2017-02-16,Ferrer D.,Berlocq C.,"Final result 0:2 (4:6, 2:6)",1.41,3.18,-4,1.98,1.91,+21.5,1.97,1.90,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/ferrer-david-berlocq-carlos-fmJQ21B1/
9,ATP Buenos Aires,argentina,2017-02-16,Melzer G.,Andreozzi G.,"Final result 2:0 (7:64, 6:3)",1.94,1.96,-0.5,1.95,1.88,+22,1.92,1.97,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/melzer-gerald-andreozzi-guido-j9wh1M40/
10,ATP Buenos Aires,argentina,2017-02-16,Dolgopolov A.,Cuevas P.,"Final result 2:0 (6:3, 7:64)",2.37,1.66,+2.5,1.87,2.02,+22,1.88,2.01,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/dolgopolov-alexandr-cuevas-pablo-U5ZoAqJR/
