,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2,tournament_url
0,ATP Hopman Cup,australia,2014-01-04,Panfil G.,Tsonga J-W.,"Final result 1:2 (3:6, 6:3, 3:6)",14.00,1.05,+5.5,2.00,1.84,+19,1.93,1.93,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/panfil-grzegorz-tsonga-jo-wilfried-ngp77NoR/
1,ATP Hopman Cup,australia,2014-01-03,Stepanek R.,Isner J.,Canceled,2.07,1.85,+0.5,1.93,1.92,+24.5,1.93,1.94,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/stepanek-radek-isner-john-8A1sfK2r/
2,ATP Hopman Cup,australia,2014-01-03,Stepanek R.,Raonic M.,"Final result 2:1 (5:7, 6:3, 7:6)",none,none,none,none,none,none,none,none,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/stepanek-radek-raonic-milos-AZ3Mg9tl/
3,ATP Hopman Cup,australia,2014-01-03,Tsonga J-W.,Munoz-De La Nava D.,"Final result 2:1 (6:4, 6:7, 6:2)",1.02,21.00,-6.5,1.99,1.85,+18,1.89,1.96,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/tsonga-jo-wilfried-munoz-de-la-nava-daniel-WIqH0w5G/
4,ATP Hopman Cup,australia,2014-01-02,Panfil G.,Tomic B.,"Final result 0:2 (1:6, 4:6)",4.87,1.22,+4.5,1.87,2.02,+21,1.91,1.94,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/panfil-grzegorz-tomic-bernard-2Hf68cND/
5,ATP Hopman Cup,australia,2014-01-02,Seppi A.,Raonic M.,"Final result 0:2 (2:6, 4:6)",3.69,1.33,+3.5,1.85,2.05,+22.5,1.88,2.01,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/seppi-andreas-raonic-milos-rVfbZqRF/
6,ATP Hopman Cup,australia,2014-01-01,Isner J.,Tsonga J-W.,"Final result 0:2 (6:7, 3:6)",3.10,1.43,+2.5,1.81,2.06,+24.5,1.96,1.91,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/isner-john-tsonga-jo-wilfried-4OFHwaI1/
7,ATP Hopman Cup,australia,2013-12-31,Seppi A.,Tomic B.,"Final result 1:2 (6:4, 3:6, 2:6)",3.00,1.45,+3.5,1.86,2.03,+22,1.99,1.90,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/seppi-andreas-tomic-bernard-Au3oxnsc/
8,ATP Hopman Cup,australia,2013-12-30,Tsonga J-W.,Stepanek R.,"Final result 2:0 (6:1, 6:4)",1.38,3.31,-3.5,1.98,1.91,+22,1.91,1.98,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/tsonga-jo-wilfried-stepanek-radek-EZM4t1Yr/
9,ATP Hopman Cup,australia,2013-12-30,Isner J.,Munoz-De La Nava D.,"Final result 2:0 (6:3, 6:4)",1.06,11.75,-5,2.03,1.86,+20.5,2.02,1.85,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/isner-john-munoz-de-la-nava-daniel-rgwoQul2/
10,ATP Hopman Cup,australia,2013-12-29,Panfil G.,Raonic M.,"Final result 2:0 (7:6, 6:3)",16.00,1.04,+5.5,1.81,2.09,+20,2.01,1.88,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/panfil-grzegorz-raonic-milos-0d2Xa5JD/
11,ATP Hopman Cup,australia,2013-12-29,Stepanek R.,Munoz-De La Nava D.,"Final result 2:0 (6:2, 6:2)",1.12,7.38,-6,2.01,1.89,+19,1.88,2.01,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/stepanek-radek-munoz-de-la-nava-daniel-lffC1JkA/
12,ATP Hopman Cup,australia,2013-12-28,Raonic M.,Tomic B.,"Final result 2:0 (7:6, 6:1)",1.52,2.72,-2.5,1.88,2.01,+23.5,1.97,1.92,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/raonic-milos-tomic-bernard-GKfJYCz5/
13,ATP Hopman Cup,australia,2013-12-28,Panfil G.,Seppi A.,"Seppi A. retired (6:4, 2:2)",9.90,1.08,+6,1.93,1.95,+19,2.01,1.88,http://www.oddsportal.com//tennis/australia/atp-hopman-cup-2014/panfil-grzegorz-seppi-andreas-M53T0o47/
