,league,country,url
0,ATP Buenos Aires,argentina,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires/results/
1,ATP Australian Open,australia,http://www.oddsportal.com//tennis/australia/atp-australian-open/results/
2,ATP Brisbane,australia,http://www.oddsportal.com//tennis/australia/atp-brisbane/results/
3,ATP Hopman Cup,australia,http://www.oddsportal.com//tennis/australia/atp-hopman-cup/results/
4,ATP Sydney,australia,http://www.oddsportal.com//tennis/australia/atp-sydney/results/
5,WTA Australian Open,australia,http://www.oddsportal.com//tennis/australia/wta-australian-open/results/
6,WTA Brisbane,australia,http://www.oddsportal.com//tennis/australia/wta-brisbane/results/
7,WTA Hobart,australia,http://www.oddsportal.com//tennis/australia/wta-hobart/results/
8,WTA Hopman Cup,australia,http://www.oddsportal.com//tennis/australia/wta-hopman-cup/results/
9,WTA Sydney,australia,http://www.oddsportal.com//tennis/australia/wta-sydney/results/
10,ATP Kitzbuhel,austria,http://www.oddsportal.com//tennis/austria/atp-kitzbuhel/results/
11,ATP Vienna,austria,http://www.oddsportal.com//tennis/austria/atp-vienna/results/
12,WTA Bad Gastein,austria,http://www.oddsportal.com//tennis/austria/wta-bad-gastein/results/
13,WTA Linz,austria,http://www.oddsportal.com//tennis/austria/wta-linz/results/
14,WTA Baku,azerbaijan,http://www.oddsportal.com//tennis/azerbaijan/wta-baku/results/
15,ATP Antwerp,belgium,http://www.oddsportal.com//tennis/belgium/atp-antwerp/results/
16,WTA Antwerp,belgium,http://www.oddsportal.com//tennis/belgium/wta-antwerp/results/
17,WTA Brussels,belgium,http://www.oddsportal.com//tennis/belgium/wta-brussels/results/
18,ATP Challenger Tour Finals Challenger Men,brazil,http://www.oddsportal.com//tennis/brazil/atp-challenger-tour-finals-challenger-men/results/
19,ATP Costa Do Sauipe,brazil,http://www.oddsportal.com//tennis/brazil/atp-costa-do-sauipe/results/
20,ATP Rio de Janeiro,brazil,http://www.oddsportal.com//tennis/brazil/atp-rio-de-janeiro/results/
