,league,country,url
0,ATP Buenos Aires,argentina,/tennis/argentina/atp-buenos-aires/results/
1,ATP Australian Open,australia,/tennis/australia/atp-australian-open/results/
2,ATP Brisbane,australia,/tennis/australia/atp-brisbane/results/
3,ATP Hopman Cup,australia,/tennis/australia/atp-hopman-cup/results/
4,ATP Sydney,australia,/tennis/australia/atp-sydney/results/
5,WTA Australian Open,australia,/tennis/australia/wta-australian-open/results/
6,WTA Brisbane,australia,/tennis/australia/wta-brisbane/results/
7,WTA Hobart,australia,/tennis/australia/wta-hobart/results/
8,WTA Hopman Cup,australia,/tennis/australia/wta-hopman-cup/results/
9,WTA Sydney,australia,/tennis/australia/wta-sydney/results/
10,ATP Kitzbuhel,austria,/tennis/austria/atp-kitzbuhel/results/
11,ATP Vienna,austria,/tennis/austria/atp-vienna/results/
12,WTA Bad Gastein,austria,/tennis/austria/wta-bad-gastein/results/
13,WTA Linz,austria,/tennis/austria/wta-linz/results/
14,WTA Baku,azerbaijan,/tennis/azerbaijan/wta-baku/results/
15,ATP Antwerp,belgium,/tennis/belgium/atp-antwerp/results/
16,WTA Antwerp,belgium,/tennis/belgium/wta-antwerp/results/
17,WTA Brussels,belgium,/tennis/belgium/wta-brussels/results/
18,ATP Challenger Tour Finals Challenger Men,brazil,/tennis/brazil/atp-challenger-tour-finals-challenger-men/results/
19,ATP Costa Do Sauipe,brazil,/tennis/brazil/atp-costa-do-sauipe/results/
20,ATP Rio de Janeiro,brazil,/tennis/brazil/atp-rio-de-janeiro/results/
21,ATP Sao Paulo,brazil,/tennis/brazil/atp-sao-paulo/results/
22,WTA Florianopolis,brazil,/tennis/brazil/wta-florianopolis/results/
23,WTA Rio de Janeiro,brazil,/tennis/brazil/wta-rio-de-janeiro/results/
24,ATP Sofia,bulgaria,/tennis/bulgaria/atp-sofia/results/
25,WTA Sofia,bulgaria,/tennis/bulgaria/wta-sofia/results/
26,ATP Montreal,canada,/tennis/canada/atp-montreal/results/
27,ATP Toronto,canada,/tennis/canada/atp-toronto/results/
28,WTA Montreal,canada,/tennis/canada/wta-montreal/results/
29,WTA Quebec City,canada,/tennis/canada/wta-quebec-city/results/
30,WTA Toronto,canada,/tennis/canada/wta-toronto/results/
31,ATP Santiago,chile,/tennis/chile/atp-santiago/results/
32,ATP Vina del Mar,chile,/tennis/chile/atp-vina-del-mar/results/
33,ATP Beijing,china,/tennis/china/atp-beijing/results/
34,ATP Chengdu,china,/tennis/china/atp-chengdu/results/
35,ATP Shanghai,china,/tennis/china/atp-shanghai/results/
36,ATP Shenzhen,china,/tennis/china/atp-shenzhen/results/
37,WTA Beijing,china,/tennis/china/wta-beijing/results/
38,WTA Guangzhou,china,/tennis/china/wta-guangzhou/results/
39,WTA Nanchang,china,/tennis/china/wta-nanchang/results/
40,WTA Shenzhen,china,/tennis/china/wta-shenzhen/results/
41,WTA Tianjin,china,/tennis/china/wta-tianjin/results/
42,WTA Wuhan,china,/tennis/china/wta-wuhan/results/
43,WTA Zhuhai,china,/tennis/china/wta-zhuhai/results/
44,ATP Bogota,colombia,/tennis/colombia/atp-bogota/results/
45,WTA Bogota,colombia,/tennis/colombia/wta-bogota/results/
46,ATP Umag,croatia,/tennis/croatia/atp-umag/results/
47,ATP Zagreb,croatia,/tennis/croatia/atp-zagreb/results/
48,WTA Prague,czech-republic,/tennis/czech-republic/wta-prague/results/
49,WTA Copenhagen,denmark,/tennis/denmark/wta-copenhagen/results/
50,ATP Quito,ecuador,/tennis/ecuador/atp-quito/results/
51,ATP French Open,france,/tennis/france/atp-french-open/results/
52,ATP Lyon,france,/tennis/france/atp-lyon/results/
53,ATP Marseille,france,/tennis/france/atp-marseille/results/
54,ATP Metz,france,/tennis/france/atp-metz/results/
55,ATP Montpellier,france,/tennis/france/atp-montpellier/results/
56,ATP Nice,france,/tennis/france/atp-nice/results/
57,ATP Paris,france,/tennis/france/atp-paris/results/
58,WTA French Open,france,/tennis/france/wta-french-open/results/
59,WTA Paris,france,/tennis/france/wta-paris/results/
60,WTA Strasbourg,france,/tennis/france/wta-strasbourg/results/
61,ATP Dusseldorf,germany,/tennis/germany/atp-dusseldorf/results/
62,ATP Halle,germany,/tennis/germany/atp-halle/results/
63,ATP Hamburg,germany,/tennis/germany/atp-hamburg/results/
64,ATP Munich,germany,/tennis/germany/atp-munich/results/
65,ATP Stuttgart,germany,/tennis/germany/atp-stuttgart/results/
66,WTA Nürnberg,germany,/tennis/germany/wta-nurnberg/results/
67,WTA Stuttgart,germany,/tennis/germany/wta-stuttgart/results/
68,ATP Hong Kong,hong-kong,/tennis/hong-kong/atp-hong-kong/results/
69,WTA Hong Kong,hong-kong,/tennis/hong-kong/wta-hong-kong/results/
70,ATP Budapest,hungary,/tennis/hungary/atp-budapest/results/
71,WTA Budapest,hungary,/tennis/hungary/wta-budapest/results/
72,ATP Chennai,india,/tennis/india/atp-chennai/results/
73,ATP Pune,india,/tennis/india/atp-pune/results/
74,WTA Bali,indonesia,/tennis/indonesia/wta-bali/results/
75,ATP Rome,italy,/tennis/italy/atp-rome/results/
76,WTA Palermo,italy,/tennis/italy/wta-palermo/results/
77,WTA Rome,italy,/tennis/italy/wta-rome/results/
78,ATP Tokyo,japan,/tennis/japan/atp-tokyo/results/
79,WTA Osaka,japan,/tennis/japan/wta-osaka/results/
80,WTA Tokyo,japan,/tennis/japan/wta-tokyo/results/
81,WTA Tokyo 2,japan,/tennis/japan/wta-tokyo-2/results/
82,WTA Luxembourg,luxembourg,/tennis/luxembourg/wta-luxembourg/results/
83,ATP Kuala Lumpur,malaysia,/tennis/malaysia/atp-kuala-lumpur/results/
84,WTA Kuala Lumpur,malaysia,/tennis/malaysia/wta-kuala-lumpur/results/
85,ATP Acapulco,mexico,/tennis/mexico/atp-acapulco/results/
86,ATP Los Cabos,mexico,/tennis/mexico/atp-los-cabos/results/
87,WTA Acapulco,mexico,/tennis/mexico/wta-acapulco/results/
