,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Buenos Aires,argentina,2013-02-24,Ferrer D.,Wawrinka S.,"Final result 2:1 (6:4, 3:6, 6:1)",1.32,3.79,-4,2.02,1.88,+22,1.87,2.02
1,ATP Buenos Aires,argentina,2013-02-23,Wawrinka S.,Almagro N.,"Final result 2:0 (6:3, 7:5)",2.23,1.75,+1,2.00,1.88,+23,1.95,1.95
2,ATP Buenos Aires,argentina,2013-02-23,Ferrer D.,Robredo T.,"Final result 2:0 (6:3, 6:2)",1.07,12.00,-6,2.11,1.82,+19,1.99,1.92
3,ATP Buenos Aires,argentina,2013-02-23,Delbonis F.,Almagro N.,"Final result 0:2 (1:6, 63:7)",4.61,1.24,+4,2.02,1.88,+21.5,1.90,2.00
4,ATP Buenos Aires,argentina,2013-02-22,Ramos A.,Wawrinka S.,"Final result 0:2 (64:7, 4:6)",3.69,1.33,+3.5,1.96,1.94,+22,1.90,2.00
5,ATP Buenos Aires,argentina,2013-02-22,Ferrer D.,Fognini F.,"Final result 2:0 (6:2, 6:1)",1.06,12.25,-6,2.09,1.83,+19,1.97,1.93
6,ATP Buenos Aires,argentina,2013-02-22,Robredo T.,Reister J.,"Final result 2:0 (6:3, 6:2)",1.45,2.97,-4,2.06,1.81,+21,1.89,1.98
7,ATP Buenos Aires,argentina,2013-02-22,Gimeno-Traver D.,Wawrinka S.,"Final result 0:2 (1:6, 4:6)",4.51,1.24,+4.5,1.88,2.02,+21,1.96,1.93
8,ATP Buenos Aires,argentina,2013-02-21,Ferrer D.,Nalbandian D.,"Final result 2:1 (2:6, 6:4, 6:0)",1.14,6.32,-5.5,1.98,1.91,+19.5,2.00,1.89
9,ATP Buenos Aires,argentina,2013-02-21,Schwartzman D.,Robredo T.,"Final result 0:2 (3:6, 1:6)",2.52,1.58,+2,2.06,1.81,+22,2.00,1.89
10,ATP Buenos Aires,argentina,2013-02-21,Ramos A.,Mayer L.,"Final result 2:0 (6:3, 7:63)",1.52,2.69,-3,1.94,1.94,+22,1.94,1.94
11,ATP Buenos Aires,argentina,2013-02-21,Kuznetsov An.,Almagro N.,"Final result 0:2 (65:7, 2:6)",7.24,1.12,+5,2.06,1.83,+19.5,1.89,1.98
12,ATP Buenos Aires,argentina,2013-02-21,Montanes A.,Delbonis F.,"Final result 0:2 (1:6, 4:6)",2.40,1.62,+2,2.02,1.83,+22,1.93,1.96
13,ATP Buenos Aires,argentina,2013-02-21,Reister J.,Bedene A.,"Final result 2:1 (6:1, 1:6, 6:2)",2.48,1.60,+3,1.98,1.91,+22,1.96,1.93
14,ATP Buenos Aires,argentina,2013-02-21,Trungelliti M.,Fognini F.,"Final result 0:2 (5:7, 2:6)",4.33,1.25,+4.5,1.98,1.91,+20.5,1.93,1.95
15,ATP Buenos Aires,argentina,2013-02-20,Berlocq C.,Nalbandian D.,"Final result 1:2 (3:6, 6:2, 3:6)",2.18,1.75,+1,2.00,1.81,+22,1.91,1.94
16,ATP Buenos Aires,argentina,2013-02-20,Garcia-Lopez G.,Fognini F.,"Final result 0:2 (5:7, 3:6)",2.49,1.59,+2.5,1.99,1.86,+22,1.99,1.86
17,ATP Buenos Aires,argentina,2013-02-20,Ferrer D.,Velotti A.,"Final result 2:0 (6:4, 6:1)",1.01,23.14,-8,2.13,1.72,+16,1.77,2.09
18,ATP Buenos Aires,argentina,2013-02-20,Ramirez-H.R.,Arguello F.,Canceled,3.52,1.34,+3.5,2.09,1.74,none,none,none
19,ATP Buenos Aires,argentina,2013-02-19,Lorenzi P.,Wawrinka S.,"Final result 0:2 (3:6, 3:6)",5.36,1.19,+4,2.13,1.71,+21,1.99,1.86
20,ATP Buenos Aires,argentina,2013-02-19,Lajovic D.,Gimeno-Traver D.,"Final result 0:2 (4:6, 5:7)",3.05,1.43,+3,2.06,1.77,none,none,none
21,ATP Buenos Aires,argentina,2013-02-19,Mayer L.,Bolelli S.,"Final result 2:1 (5:7, 6:2, 6:3)",2.43,1.62,+2,1.98,1.84,+22.5,2.00,1.85
22,ATP Buenos Aires,argentina,2013-02-19,Andujar-Alba P.,Montanes A.,"Final result 1:2 (7:5, 2:6, 4:6)",2.29,1.68,+1.5,2.04,1.78,+21.5,1.88,1.96
23,ATP Buenos Aires,argentina,2013-02-19,Kuznetsov An.,Volandri F.,"Final result 2:0 (7:65, 6:3)",2.18,1.75,+1,2.00,1.83,none,none,none
24,ATP Buenos Aires,argentina,2013-02-19,Reister J.,Alund M.,"Final result 2:0 (7:5, 6:1)",2.10,1.81,+1,1.93,1.88,+22,1.99,1.86
25,ATP Buenos Aires,argentina,2013-02-19,Robredo T.,Elias G.,"Final result 2:0 (6:3, 6:0)",1.68,2.29,-2.5,1.98,1.85,+22,1.95,1.90
26,ATP Buenos Aires,argentina,2013-02-19,Pella G.,Almagro N.,"Final result 0:2 (3:6, 2:6)",7.74,1.11,+5.5,1.85,1.96,+20,1.88,1.97
27,ATP Buenos Aires,argentina,2013-02-18,Bedene A.,Zeballos H.,"Final result 2:1 (4:6, 7:64, 6:3)",2.97,1.44,+3.5,1.99,1.86,+22,1.96,1.89
28,ATP Buenos Aires,argentina,2013-02-18,Ramos A.,Cipolla F.,"Final result 2:0 (6:1, 6:0)",1.18,5.57,-5,1.96,1.89,+20,1.91,1.94
29,ATP Buenos Aires,argentina,2013-02-18,Bellucci T.,Schwartzman D.,"Final result 1:2 (4:6, 6:4, 1:6)",1.47,2.89,-4,2.00,1.85,+21.5,1.96,1.89
30,ATP Buenos Aires,argentina,2013-02-18,Trungelliti M.,Arguello F.,"Final result 1:2 (7:65, 1:6, 3:6)",none,none,none,none,none,none,none,none
31,ATP Buenos Aires,argentina,2013-02-18,Sousa J.,Delbonis F.,"Final result 0:2 (1:6, 4:6)",3.46,1.35,+4,2.02,1.83,+21.5,1.97,1.88
32,ATP Buenos Aires,argentina,2013-02-18,Clezar G.,Lajovic D.,"Final result 0:2 (1:6, 3:6)",none,none,none,none,none,none,none,none
33,ATP Buenos Aires,argentina,2013-02-18,Elias G.,Bagnis F.,"Final result 2:0 (6:2, 7:5)",none,none,none,none,none,none,none,none
34,ATP Buenos Aires,argentina,2013-02-18,Olivo R.,Reister J.,"Final result 1:2 (6:4, 1:6, 5:7)",none,none,none,none,none,none,none,none
35,ATP Buenos Aires,argentina,2013-02-17,Silva D. R.,Clezar G.,"Final result 1:2 (6:4, 2:6, 1:6)",none,none,none,none,none,none,none,none
36,ATP Buenos Aires,argentina,2013-02-17,Arguello F.,Brown D.,"Final result 2:0 (7:5, 6:4)",none,none,none,none,none,none,none,none
37,ATP Buenos Aires,argentina,2013-02-17,Molteni A.,Lajovic D.,"Final result 0:2 (4:6, 61:7)",none,none,none,none,none,none,none,none
38,ATP Buenos Aires,argentina,2013-02-17,Trungelliti M.,Starace P.,"Final result 2:1 (6:4, 2:6, 6:1)",none,none,none,none,none,none,none,none
39,ATP Buenos Aires,argentina,2013-02-17,Elias G.,Naso G.,"Final result 2:1 (4:6, 7:64, 6:2)",none,none,none,none,none,none,none,none
40,ATP Buenos Aires,argentina,2013-02-17,Gabashvili T.,Bagnis F.,"Final result 0:2 (4:6, 4:6)",none,none,none,none,none,none,none,none
41,ATP Buenos Aires,argentina,2013-02-17,Junqueira D.,Reister J.,"Final result 0:2 (3:6, 5:7)",none,none,none,none,none,none,none,none
42,ATP Buenos Aires,argentina,2013-02-17,Capdeville P.,Olivo R.,"Final result 1:2 (5:7, 6:1, 2:6)",none,none,none,none,none,none,none,none
43,ATP Buenos Aires,argentina,2013-02-16,Diez S.,Lajovic D.,"Final result 0:2 (65:7, 4:6)",none,none,none,none,none,none,none,none
44,ATP Buenos Aires,argentina,2013-02-16,Marti J.,Molteni A.,"Final result 1:2 (6:3, 2:6, 1:6)",none,none,none,none,none,none,none,none
45,ATP Buenos Aires,argentina,2013-02-16,Silva D. R.,Amado J.,"Final result 2:0 (6:1, 6:2)",none,none,none,none,none,none,none,none
46,ATP Buenos Aires,argentina,2013-02-16,Arguello F.,Travaglia S.,"Final result 2:0 (6:3, 7:5)",none,none,none,none,none,none,none,none
47,ATP Buenos Aires,argentina,2013-02-16,Duran G.,Brown D.,"Final result 1:2 (4:6, 6:3, 62:7)",none,none,none,none,none,none,none,none
48,ATP Buenos Aires,argentina,2013-02-16,Starace P.,Londero J. I.,"Final result 2:0 (6:3, 6:2)",none,none,none,none,none,none,none,none
49,ATP Buenos Aires,argentina,2013-02-16,Clezar G.,Gonzalez M.,"Final result 2:0 (6:4, 6:2)",none,none,none,none,none,none,none,none
