,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2,tournament_url
0,ATP Buenos Aires,argentina,2016-02-14,Thiem D.,Almagro N.,"Final result 2:1 (7:62, 3:6, 7:64)",1.57,2.60,-2.5,1.95,1.95,+23,1.98,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/thiem-dominic-almagro-nicolas-Cpq2Ksc0/
1,ATP Buenos Aires,argentina,2016-02-13,Almagro N.,Ferrer D.,"Final result 2:0 (6:4, 7:5)",3.36,1.38,+3.5,2.00,1.91,+22,1.91,2.00,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/almagro-nicolas-ferrer-david-pKl3fZLt/
2,ATP Buenos Aires,argentina,2016-02-13,Nadal R.,Thiem D.,"Final result 1:2 (4:6, 6:4, 64:7)",1.22,5.05,-4.5,1.88,2.02,+21.5,1.98,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/nadal-rafael-thiem-dominic-vPGwzaLD/
3,ATP Buenos Aires,argentina,2016-02-13,Cuevas P.,Ferrer D.,"Final result 1:2 (4:6, 6:1, 3:6)",4.80,1.23,+4,2.10,1.83,+21.5,1.94,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/cuevas-pablo-ferrer-david-CKwEIOgG/
4,ATP Buenos Aires,argentina,2016-02-12,Almagro N.,Tsonga J-W.,"Final result 2:0 (6:2, 7:5)",3.92,1.31,+3.5,2.05,1.86,+22.5,1.98,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/almagro-nicolas-tsonga-jo-wilfried-dvYPFWZr/
5,ATP Buenos Aires,argentina,2016-02-12,Nadal R.,Lorenzi P.,"Final result 2:0 (7:63, 6:2)",1.06,12.75,-6,1.91,2.00,+18.5,1.93,1.97,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/nadal-rafael-lorenzi-paolo-SlFubiDP/
6,ATP Buenos Aires,argentina,2016-02-12,Lajovic D.,Thiem D.,"Final result 0:2 (4:6, 2:6)",3.48,1.36,+4,1.88,2.02,+22,1.99,1.92,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/lajovic-dusan-thiem-dominic-QkfsOfS2/
7,ATP Buenos Aires,argentina,2016-02-12,Nadal R.,Monaco J.,"Final result 2:0 (6:4, 6:4)",1.08,10.44,-6,1.93,1.95,+19,1.96,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/nadal-rafael-monaco-juan-vwSnnOLL/
8,ATP Buenos Aires,argentina,2016-02-11,Lorenzi P.,Schwartzman D.,"Final result 2:1 (4:6, 6:3, 6:1)",2.44,1.63,+2,2.04,1.82,+22,1.97,1.92,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/lorenzi-paolo-schwartzman-diego-sebastian-WCOvlpi9/
9,ATP Buenos Aires,argentina,2016-02-11,Olivo R.,Ferrer D.,"Final result 0:2 (2:6, 2:6)",11.51,1.07,+6,2.01,1.88,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2016/olivo-renzo-ferrer-david-fBZzxJtH/
