,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Australian Open,australia,2017-01-29,Federer R.,Nadal R.,"Final result 3:2 (6:4, 3:6, 6:1, 3:6, 6:3)",2.25,1.75,+1.5,2.04,1.88,+42,1.92,1.99
1,ATP Australian Open,australia,2017-01-27,Nadal R.,Dimitrov G.,"Final result 3:2 (6:3, 5:7, 7:65, 64:7, 6:4)",1.39,3.37,-5,2.10,1.79,+39.5,1.92,1.99
2,ATP Australian Open,australia,2017-01-26,Federer R.,Wawrinka S.,"Final result 3:2 (7:5, 6:3, 1:6, 4:6, 6:3)",1.54,2.73,-4,2.04,1.84,+41.5,1.96,1.93
3,ATP Australian Open,australia,2017-01-25,Nadal R.,Raonic M.,"Final result 3:0 (6:4, 7:67, 6:4)",1.71,2.30,-2.5,2.01,1.87,+43,1.95,1.92
4,ATP Australian Open,australia,2017-01-25,Goffin D.,Dimitrov G.,"Final result 0:3 (3:6, 2:6, 4:6)",2.46,1.63,+2.5,2.03,1.85,+39.5,1.93,1.97
5,ATP Australian Open,australia,2017-01-24,Zverev M.,Federer R.,"Final result 0:3 (1:6, 5:7, 2:6)",8.22,1.11,+7.5,1.88,2.03,+32.5,1.93,1.97
6,ATP Australian Open,australia,2017-01-24,Wawrinka S.,Tsonga J-W.,"Final result 3:0 (7:62, 6:4, 6:3)",1.74,2.25,-2,1.95,1.95,+42.5,1.91,2.00
7,ATP Australian Open,australia,2017-01-23,Monfils G.,Nadal R.,"Final result 1:3 (3:6, 3:6, 6:4, 4:6)",3.10,1.43,+4.5,2.02,1.88,+39.5,1.94,1.96
8,ATP Australian Open,australia,2017-01-23,Bautista-Agut R.,Raonic M.,"Final result 1:3 (66:7, 6:3, 4:6, 1:6)",4.09,1.29,+5.5,1.85,2.07,+38,1.94,1.94
9,ATP Australian Open,australia,2017-01-23,Dimitrov G.,Istomin D.,"Final result 3:1 (2:6, 7:62, 6:2, 6:1)",1.14,6.99,-7,2.00,1.91,+34,1.95,1.93
10,ATP Australian Open,australia,2017-01-23,Thiem D.,Goffin D.,"Final result 1:3 (7:5, 64:7, 2:6, 2:6)",2.29,1.71,+2.5,1.97,1.93,+40.5,1.93,1.97
11,ATP Australian Open,australia,2017-01-22,Federer R.,Nishikori K.,"Final result 3:2 (64:7, 6:4, 6:1, 4:6, 6:3)",1.74,2.25,-2.5,1.99,1.92,+41,1.94,1.93
12,ATP Australian Open,australia,2017-01-22,Tsonga J-W.,Evans D.,"Final result 3:1 (64:7, 6:2, 6:4, 6:4)",1.23,4.84,-6.5,1.95,1.95,+37,1.93,1.98
13,ATP Australian Open,australia,2017-01-22,Wawrinka S.,Seppi A.,"Final result 3:0 (7:62, 7:64, 7:64)",1.11,8.71,none,none,none,none,none,none
14,ATP Australian Open,australia,2017-01-22,Murray A.,Zverev M.,"Final result 1:3 (5:7, 7:5, 2:6, 4:6)",1.03,20.76,-9,1.88,2.03,+28.5,2.00,1.91
15,ATP Australian Open,australia,2017-01-21,Dimitrov G.,Gasquet R.,"Final result 3:0 (6:3, 6:2, 6:4)",1.64,2.45,-4,1.99,1.86,+40.5,1.94,1.93
16,ATP Australian Open,australia,2017-01-21,Monfils G.,Kohlschreiber P.,"Final result 3:0 (6:3, 7:61, 6:4)",1.21,5.13,-7,1.99,1.85,+35.5,1.95,1.95
17,ATP Australian Open,australia,2017-01-21,Simon G.,Raonic M.,"Final result 1:3 (2:6, 65:7, 6:3, 3:6)",5.65,1.19,+6.5,1.95,1.95,+37.5,1.97,1.93
18,ATP Australian Open,australia,2017-01-21,Zverev A.,Nadal R.,"Final result 2:3 (6:4, 3:6, 7:65, 3:6, 2:6)",3.67,1.34,+5.5,1.97,1.93,+39,1.98,1.90
19,ATP Australian Open,australia,2017-01-21,Carreno-Busta P.,Istomin D.,"Final result 2:3 (4:6, 6:4, 4:6, 6:4, 2:6)",1.34,3.62,-6,2.13,1.78,+38,1.98,1.93
20,ATP Australian Open,australia,2017-01-21,Bautista-Agut R.,Ferrer D.,"Final result 3:1 (7:5, 66:7, 7:63, 6:4)",1.54,2.69,-5,1.99,1.92,+38,1.94,1.96
21,ATP Australian Open,australia,2017-01-21,Thiem D.,Paire B.,"Final result 3:1 (6:1, 4:6, 6:4, 6:4)",1.20,5.29,-7,2.06,1.85,+36.5,1.91,2.00
22,ATP Australian Open,australia,2017-01-21,Karlovic I.,Goffin D.,"Final result 0:3 (3:6, 2:6, 4:6)",4.20,1.28,+4.5,2.01,1.90,+41.5,1.93,1.97
23,ATP Australian Open,australia,2017-01-20,Berdych T.,Federer R.,"Final result 0:3 (2:6, 4:6, 4:6)",2.65,1.56,+3,2.07,1.85,+41,1.95,1.92
24,ATP Australian Open,australia,2017-01-20,Lacko L.,Nishikori K.,"Final result 0:3 (4:6, 4:6, 4:6)",17.65,1.04,+8.5,1.99,1.82,+28.5,2.02,1.88
25,ATP Australian Open,australia,2017-01-20,Tomic B.,Evans D.,"Final result 0:3 (5:7, 62:7, 63:7)",1.59,2.56,-3.5,2.04,1.84,+40,1.97,1.92
26,ATP Australian Open,australia,2017-01-20,Murray A.,Querrey S.,"Final result 3:0 (6:4, 6:2, 6:4)",1.03,20.40,-8.5,2.04,1.87,+30,1.90,1.97
27,ATP Australian Open,australia,2017-01-20,Wawrinka S.,Troicki V.,"Final result 3:1 (3:6, 6:2, 6:2, 7:67)",1.14,6.97,-7.5,2.14,1.76,none,none,none
28,ATP Australian Open,australia,2017-01-20,Zverev M.,Jaziri M.,"Final result 3:1 (6:1, 4:6, 6:3, 6:0)",2.28,1.72,+0.5,2.00,1.86,+38.5,1.93,1.96
29,ATP Australian Open,australia,2017-01-20,Tsonga J-W.,Sock J.,"Final result 3:1 (7:64, 7:5, 68:7, 6:3)",1.54,2.71,-4.5,2.02,1.83,none,none,none
