,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Buenos Aires,argentina,2017-02-19,Nishikori K.,Dolgopolov A.,"Final result 0:2 (64:7, 4:6)",1.23,4.80,-4,1.86,2.05,+21.5,1.93,1.98
1,ATP Buenos Aires,argentina,2017-02-18,Nishikori K.,Berlocq C.,"Final result 2:1 (4:6, 6:4, 6:3)",1.15,6.61,-5.5,2.11,1.81,+20,1.93,1.98
2,ATP Buenos Aires,argentina,2017-02-18,Carreno-Busta P.,Dolgopolov A.,"Final result 0:2 (5:7, 2:6)",1.68,2.36,-2,1.95,1.95,+22.5,1.94,1.96
3,ATP Buenos Aires,argentina,2017-02-18,Berlocq C.,Monteiro T.,"Final result 2:1 (3:6, 6:2, 6:3)",1.61,2.51,-2.5,1.99,1.92,+22.5,2.02,1.88
4,ATP Buenos Aires,argentina,2017-02-17,Nishikori K.,Sousa J.,"Final result 2:0 (6:1, 6:4)",1.24,4.69,-4.5,2.00,1.91,+21.5,1.98,1.91
5,ATP Buenos Aires,argentina,2017-02-17,Melzer G.,Dolgopolov A.,"Final result 0:2 (5:7, 4:6)",2.79,1.51,+3,1.96,1.94,+22.5,1.99,1.92
6,ATP Buenos Aires,argentina,2017-02-17,Ramos A.,Carreno-Busta P.,"Final result 1:2 (3:6, 6:4, 4:6)",2.41,1.65,+2,2.02,1.88,+23,1.96,1.92
7,ATP Buenos Aires,argentina,2017-02-17,Monteiro T.,Robredo T.,"Final result 2:0 (6:3, 6:4)",2.27,1.71,+1.5,2.02,1.87,+22,1.89,2.00
8,ATP Buenos Aires,argentina,2017-02-16,Ferrer D.,Berlocq C.,"Final result 0:2 (4:6, 2:6)",1.41,3.18,-4,1.98,1.91,+21.5,1.97,1.90
9,ATP Buenos Aires,argentina,2017-02-16,Melzer G.,Andreozzi G.,"Final result 2:0 (7:64, 6:3)",1.94,1.96,-0.5,1.95,1.88,+22,1.92,1.97
10,ATP Buenos Aires,argentina,2017-02-16,Dolgopolov A.,Cuevas P.,"Final result 2:0 (6:3, 7:64)",2.37,1.66,+2,2.03,1.83,+22,1.88,2.01
11,ATP Buenos Aires,argentina,2017-02-16,Nishikori K.,Schwartzman D.,"Final result 2:1 (5:7, 6:2, 6:2)",1.22,4.93,-4.5,1.88,2.01,+20.5,1.89,2.00
12,ATP Buenos Aires,argentina,2017-02-15,Giannessi A.,Carreno-Busta P.,"Final result 1:2 (1:6, 6:4, 4:6)",5.08,1.21,+4.5,1.88,2.01,+20.5,1.88,2.01
13,ATP Buenos Aires,argentina,2017-02-15,Delbonis F.,Sousa J.,"Final result 0:2 (5:7, 3:6)",1.56,2.62,-3,2.01,1.84,+22.5,1.90,1.99
14,ATP Buenos Aires,argentina,2017-02-15,Ramos A.,Mayer L.,"Mayer L. retired (64:7, 7:63, 1:0)",1.68,2.32,-2.5,1.97,1.89,+22.5,1.94,1.94
15,ATP Buenos Aires,argentina,2017-02-15,Lorenzi P.,Melzer G.,"Final result 0:2 (3:6, 3:6)",1.61,2.45,-2.5,1.93,1.93,+22.5,1.96,1.88
16,ATP Buenos Aires,argentina,2017-02-15,Estrella V.,Monteiro T.,"Final result 0:2 (2:6, 1:6)",2.20,1.74,+1.5,1.99,1.87,+22,1.89,1.93
17,ATP Buenos Aires,argentina,2017-02-15,Zeballos H.,Sousa J.,"Final result 0:2 (2:6, 64:7)",2.83,1.48,+3.5,1.93,1.93,+21.5,1.91,1.94
18,ATP Buenos Aires,argentina,2017-02-15,Schwartzman D.,Bagnis F.,"Final result 2:0 (6:1, 6:4)",1.40,3.17,-4,1.94,1.91,+21,1.90,1.95
19,ATP Buenos Aires,argentina,2017-02-15,Robredo T.,Fognini F.,"Final result 2:0 (6:4, 6:3)",3.62,1.33,+4,1.92,1.93,+21,1.90,1.95
20,ATP Buenos Aires,argentina,2017-02-14,Silva D. R.,Giannessi A.,"Final result 1:2 (7:5, 66:7, 4:6)",1.58,2.51,-3,1.93,1.93,+22,1.88,1.98
21,ATP Buenos Aires,argentina,2017-02-14,Ramos A.,Pella G.,"Final result 2:1 (68:7, 6:4, 7:66)",1.56,2.58,-3.5,2.05,1.78,+22.5,1.99,1.86
22,ATP Buenos Aires,argentina,2017-02-14,Andreozzi G.,Olivo R.,"Final result 2:1 (2:6, 6:4, 6:4)",1.68,2.31,-3,2.06,1.75,+22.5,1.90,1.95
23,ATP Buenos Aires,argentina,2017-02-14,Berlocq C.,Kovalik J.,"Final result 2:0 (6:4, 6:4)",1.57,2.54,-3.5,2.04,1.79,+22,1.88,1.93
24,ATP Buenos Aires,argentina,2017-02-14,Dolgopolov A.,Tipsarevic J.,"Final result 2:0 (6:3, 6:3)",1.95,1.93,-1,2.04,1.79,+22.5,1.96,1.89
